name,Brand,Average Rating,Rating Count,Price,Dimensions (Overall),Dimensions (weight)
TCL 55 4k UHD HDR Smart Roku TV - 55S455,TCL,3.49,39,$299.99 ,<B>Dimensions (Overall):</B> 28.4 Inches (H) x 55 Inches (W) x 3.1 Inches (D),<B>Weight:</B> 27 Pounds
TCL 50 4k UHD HDR Smart Roku TV- 50S455,TCL,4.56,34,$269.99 ,<B>Dimensions (Overall):</B> 25.7 Inches (H) x 44.1 Inches (W) x 3.2 Inches (D),<B>Weight:</B> 23.6 Pounds
LG 50 Class 4K UHD Smart LED TV - 50UQ7570PUJ,LG Electronics,4.51,124,$299.99 ,<B>Dimensions (Overall):</B> 25.6 Inches (H) x 44 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 20.7 Pounds
TCL43 4k UHD HDR Smart Roku TV - 43S455,TCL,3.71,42,$229.99 ,<B>Dimensions (Overall):</B> 22.2 Inches (H) x 38.3 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 16.8 Pounds
LG 55 Class 4K UHD Smart OLED TV - OLED55B2PUA,LG Electronics,4.83,64,$999.99 ,<B>Dimensions (Overall):</B> 27.9 Inches (H) x 48.3 Inches (W) x 1.8 Inches (D),<B>Weight:</B> 41.7 Pounds
LG 43 Class 4K UHD Smart LED TV - 43UQ7590PUB,LG Electronics,4.22,73,$249.99 ,<B>Dimensions (Overall):</B> 22.2 Inches (H) x 38.1 Inches (W) x 2.2 Inches (D),<B>Weight:</B> 19.4 Pounds
LG 65 Class 4K UHD Smart OLED TV - OLED65B2PUA,LG Electronics,4.65,68,"$1,399.99 ",<B>Dimensions (Overall):</B> 32.8 Inches (H) x 57 Inches (W) x 1.8 Inches (D),<B>Weight:</B> 52.9 Pounds
VIZIO D-Series 40 Class 1080p Full-Array LED HD Smart TV - D40f-J09,VIZIO,4.32,12770,$199.99 ,<B>Dimensions (Overall):</B> 20.4 Inches (H) x 35.51 Inches (W) x 2.55 Inches (D),<B>Weight:</B> 12.35 Pounds
LG 55 Class 4K UHD Smart LED TV - 55UQ9000PUD,LG Electronics,4.36,69,$429.99 ,<B>Dimensions (Overall):</B> 28.1 Inches (H) x 48.6 Inches (W) x 2.3 Inches (D),<B>Weight:</B> 30.9 Pounds
VIZIO 65 Class M6 Series 4K QLED HDR Smart TV - M65Q6-J09,VIZIO,4.5,1566,$539.99 ,<B>Dimensions (Overall):</B> 32.72 Inches (H) x 56.84 Inches (W) x 2.5 Inches (D),<B>Weight:</B> 42.33 Pounds
VIZIO D-Series 32 Class 720p Full-Array LED HD Smart TV - D32h-J09,VIZIO,4.35,5143,$129.99 ,<B>Dimensions (Overall):</B> 17.21 Inches (H) x 28.88 Inches (W) x 2.78 Inches (D),<B>Weight:</B> 8.71 Pounds
LG 43 Class 4K UHD Smart LED TV - 43UQ9000PUD,LG Electronics,4.28,79,$299.99 ,<B>Dimensions (Overall):</B> 22.2 Inches (H) x 38.1 Inches (W) x 2.2 Inches (D),<B>Weight:</B> 19.4 Pounds
Samsung 65 Smart 4K Crystal HDR UHD TV TU7000 Series (Titan Gray),Samsung,4.5,10636,$449.99 ,<B>Dimensions (Overall):</B> 32.7 Inches (H) x 57.1 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 46.1 Pounds
VIZIO D-Series 32 Class 1080p Full-Array LED HD Smart TV - D32F-J04,VIZIO,4.3,5978,$179.99 ,<B>Dimensions (Overall):</B> 16.76 Inches (H) x 28.59 Inches (W) x 3.06 Inches (D),<B>Weight:</B> 8.99 Pounds
VIZIO V-Series 50 Class 4K HDR Smart TV - V505-J09,VIZIO,4.47,5740,$299.99 ,<B>Dimensions (Overall):</B> 25.66 Inches (H) x 44.2 Inches (W) x 2.54 Inches (D),<B>Weight:</B> 18.87 Pounds
Samsung 55 Smart 4K Crystal HDR UHD TV TU7000 Series (Titan Gray),Samsung,4.5,10631,$349.99 ,<B>Dimensions (Overall):</B> 27.8 Inches (H) x 48.4 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 31.3 Pounds
VIZIO V-Series 65 Class 4K HDR Smart TV - V655-J09,VIZIO,4.49,5680,$449.99 ,<B>Dimensions (Overall):</B> 33.14 Inches (H) x 57.41 Inches (W) x 2.44 Inches (D),<B>Weight:</B> 40.12 Pounds
LG 75 Class 4K UHD Smart LED TV - 75UQ7590PUB,LG Electronics,4.21,52,$629.99 ,<B>Dimensions (Overall):</B> 38 Inches (H) x 66.1 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 69.2 Pounds
Element 50 4K UHD Roku TV,Element,4.29,949,$299.99 ,<B>Dimensions (Overall):</B> 25.6 Inches (H) x 44.4 Inches (W) x 3.7 Inches (D),<B>Weight:</B> 20.7 Pounds
LG 50 Class 4K UHD Smart LED TV - 50UQ7570PUJ,LG Electronics,4.51,124,$299.99 ,<B>Dimensions (Overall):</B> 25.6 Inches (H) x 44 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 20.7 Pounds
TCL 40 Class 3-Series Full HD 1080p LED Smart Roku &#8211; 40S355,TCL,4.05,21,$199.99 ,<B>Dimensions (Overall):</B> 20.5 Inches (H) x 35.6 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 13.4 Pounds
VIZIO V-Series 43 Class 4K HDR Smart TV - V435-J01,VIZIO,4.63,32089,$269.99 ,<B>Dimensions (Overall):</B> 22.35 Inches (H) x 38.31 Inches (W) x 3.31 Inches (D),<B>Weight:</B> 15.87 Pounds
LG 55 Class 4K UHD Smart LED TV - 55UQ7570PUJ,LG Electronics,4.18,103,$349.99 ,<B>Dimensions (Overall):</B> 28.1 Inches (H) x 48.5 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 23.6 Pounds
LG 43 Class 4K UHD Smart LED TV - 43UQ7590PUB,LG Electronics,4.22,73,$249.99 ,<B>Dimensions (Overall):</B> 22.2 Inches (H) x 38.1 Inches (W) x 2.2 Inches (D),<B>Weight:</B> 19.4 Pounds
Element 32 720p HD LED Roku TV,Element,4.24,661,$109.99 ,<B>Dimensions (Overall):</B> 17.1 Inches (H) x 28.8 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 7.9 Pounds
LG 65 Class 4K UHD Smart LED TV - 65UQ7570PUJ,LG Electronics,4.29,101,$449.99 ,<B>Dimensions (Overall):</B> 33 Inches (H) x 57.1 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 36.8 Pounds
Samsung 70 Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray,Samsung,4.51,10556,$549.99 ,<B>Dimensions (Overall):</B> 34.4 Inches (H) x 61.9 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 54.5 Pounds
Samsung 50 Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray,Samsung,4.51,10638,$329.99 ,<B>Dimensions (Overall):</B> 25.4 Inches (H) x 44 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 25.6 Pounds
Samsung 43 Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray,Samsung,4.51,10952,$279.99 ,<B>Dimensions (Overall):</B> 22 Inches (H) x 37.9 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 18.3 Pounds
"VIZIO 50 Class M6 Series 4K QLED HDR Smart TV with Dolby Vision, Voice Remote and Gaming Engine - M50Q6-J01",VIZIO,4.53,1492,$399.99 ,<B>Dimensions (Overall):</B> 25.69 Inches (H) x 43.81 Inches (W) x 3.41 Inches (D),<B>Weight:</B> 25.46 Pounds
LG 75 NanoCell 4K UHD Smart LED HDR TV - 75NANO75,LG Electronics,4.45,185,$899.99 ,<B>Dimensions (Overall):</B> 38 Inches (H) x 74 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 76.3 Pounds
Element 40 1080p FHD LED Roku TV,Element,4.28,322,$179.99 ,<B>Dimensions (Overall):</B> 20.1 Inches (H) x 35.5 Inches (W) x 2.5 Inches (D),<B>Weight:</B> 13.9 Pounds
LG 65 Class 4K UHD Smart OLED TV - OLED65C2PUA,LG Electronics,4.84,503,"$1,699.99 ",<B>Dimensions (Overall):</B> 32.5 Inches (H) x 56.7 Inches (W) x 1.8 Inches (D),<B>Weight:</B> 32.6 Pounds
Hisense 65 4K UHD Smart Google TV - 65A6H,Hisense,4.92,13,$419.99 ,<B>Dimensions (Overall):</B> 32.8 Inches (H) x 57.2 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 36.4 Pounds
Element 55 4K UHD Roku LED TV,Element,4.21,938,$329.99 ,<B>Dimensions (Overall):</B> 28.5 Inches (H) x 48.9 Inches (W) x 3.6 Inches (D),<B>Weight:</B> 30.4 Pounds
Samsung 75 Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray,Samsung,4.52,10403,$629.99 ,<B>Dimensions (Overall):</B> 37.7 Inches (H) x 65.9 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 67.9 Pounds
Hisense 55 4K UHD Smart Google TV - 55A6H,Hisense,4.15,26,$299.99 ,<B>Dimensions (Overall):</B> 28 Inches (H) x 48.5 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 24.9 Pounds
Element 43 4K UHD Roku TV,Element,4.29,420,$199.99 ,<B>Dimensions (Overall):</B> 22.6 Inches (H) x 38.2 Inches (W) x 3.1 Inches (D),<B>Weight:</B> 15.7 Pounds
LG 70 Class 4K UHD Smart LED TV - 70UQ7590PUB,LG Electronics,4.24,50,$569.99 ,<B>Dimensions (Overall):</B> 35.7 Inches (H) x 61.5 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 62.6 Pounds
Hisense 50 4K UHD Smart Google TV - 50A6H,Hisense,4,9,$269.99 ,<B>Dimensions (Overall):</B> 25.4 Inches (H) x 44 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 21.6 Pounds
Samsung 85 Smart QLED 4K UHD TV  (QN85Q60B) - Titan Gray,Samsung,4.77,1304,"$1,599.99 ",<B>Dimensions (Overall):</B> 42.7 Inches (H) x 74.8 Inches (W) x 1 Inches (D),<B>Weight:</B> 93.7 Pounds
VIZIO V-Series 70 Class 4K HDR Smart TV - V705-J01,VIZIO,4.51,5442,$599.99 ,<B>Dimensions (Overall):</B> 35.7 Inches (H) x 61.8 Inches (W) x 2.7 Inches (D),<B>Weight:</B> 52.7 Pounds
LG 55 NanoCell 4K UHD Smart LED HDR TV - 55NANO75,LG Electronics,4.29,66,$499.99 ,<B>Dimensions (Overall):</B> 28.1 Inches (H) x 48.6 Inches (W) x 2.3 Inches (D),<B>Weight:</B> 33.1 Pounds
Samsung 65 Smart 4K UHD TV (UN65AU8000) - Black,Samsung,4.63,3034,$649.99 ,<B>Dimensions (Overall):</B> 32.7 Inches (H) x 57.1 Inches (W) x 1 Inches (D),<B>Weight:</B> 48.1 Pounds
Samsung 50 Smart 4K UHD TV (UN50AU8000) - Black,Samsung,4.62,3082,$449.99 ,<B>Dimensions (Overall):</B> 25.4 Inches (H) x 44 Inches (W) x 1 Inches (D),<B>Weight:</B> 26.9 Pounds
Samsung 55 Smart 4K UHD TV (UN55AU8000) - Black,Samsung,4.63,3031,$499.99 ,<B>Dimensions (Overall):</B> 27.9 Inches (H) x 48.5 Inches (W) x 1 Inches (D),<B>Weight:</B> 35.7 Pounds
Element 24 720p HD LED TV - (ELEFT2416),Element,4.07,256,$99.99 ,<B>Dimensions (Overall):</B> 13.4 Inches (H) x 21.8 Inches (W) x 3 Inches (D),<B>Weight:</B> 5.1 Pounds
LG 55 Class 4K UHD Smart OLED TV - OLED55C2PUA,LG Electronics,4.85,629,"$1,299.99 ",<B>Dimensions (Overall):</B> 27.7 Inches (H) x 48.1 Inches (W) x 1.8 Inches (D),<B>Weight:</B> 28 Pounds
Samsung 50 Crystal UHD 4K Smart TV - (UN50TU690T),Samsung,5,2,$299.99 ,<B>Dimensions (Overall):</B> 25.4 Inches (H) x 44 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 25.1 Pounds
Hisense 65 4K UHD Smart Google TV - 65A6H,Hisense,4.92,13,$419.99 ,<B>Dimensions (Overall):</B> 32.8 Inches (H) x 57.2 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 36.4 Pounds
Samsung 75 Smart QLED 4K UHD TV (QN75Q60B) - Titan Gray,Samsung,4.77,1304,$999.99 ,<B>Dimensions (Overall):</B> 37.8 Inches (H) x 66 Inches (W) x 1 Inches (D),<B>Weight:</B> 70.5 Pounds
Sony 65 Class X80K Series 4K HDR LED with smart Google TV- KD65X80K,Sony,4.4,45,$699.99 ,<B>Dimensions (Overall):</B> 33 Inches (H) x 57.16 Inches (W) x 2.83 Inches (D),<B>Weight:</B> 66 Pounds
Sony 55 Class BRAVIA XR X90K Series 4K HDR Full Array LED TV with smart Google TV - XR55X90K,Sony,4.77,35,$899.99 ,<B>Dimensions (Overall):</B> 27.99 Inches (H) x 48.54 Inches (W) x 2.83 Inches (D),<B>Weight:</B> 53.16 Pounds
Supersonic SC-2416STV 24-Inch-Class 720p HD Smart DLED TV,Supersonic,0,0,$236.99 ,<B>Dimensions (Overall):</B> 2.77 inches (H) x 21.69 inches (W) x 12.93 inches (D),<B>Weight:</B> 5.29 pounds
Hisense 55 4K UHD Smart Google TV - 55A6H,Hisense,4.15,26,$299.99 ,<B>Dimensions (Overall):</B> 28 Inches (H) x 48.5 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 24.9 Pounds
Samsung 43 Crystal UHD 4K Smart TV - (UN43TU690T),Samsung,3.56,9,$249.99 ,<B>Dimensions (Overall):</B> 22 Inches (H) x 37.9 Inches (W) x 2.3 Inches (D),<B>Weight:</B> 17.9 Pounds
LG 75 NanoCell 4K UHD Smart LED HDR TV - 75NANO75,LG Electronics,4.45,185,$899.99 ,<B>Dimensions (Overall):</B> 38 Inches (H) x 74 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 76.3 Pounds
Samsung 50 Smart QLED 4K UHD TV - Titan Gray (QN50Q60B),Samsung,4.77,1306,$549.99 ,<B>Dimensions (Overall):</B> 25.4 Inches (H) x 44 Inches (W) x 1 Inches (D),<B>Weight:</B> 26 Pounds
LG 75 Class 4K UHD Smart LED HDR TV - 75UQ9000PUD,LG Electronics,4.35,69,$779.99 ,<B>Dimensions (Overall):</B> 38 Inches (H) x 66.1 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 69.2 Pounds
Hisense 50 4K UHD Smart Google TV - 50A6H,Hisense,4,9,$269.99 ,<B>Dimensions (Overall):</B> 25.4 Inches (H) x 44 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 21.6 Pounds
LG 75 Class 4K UHD Smart LED HDR TV - 75UQ9000PUD,LG Electronics,4.35,69,$779.99 ,<B>Dimensions (Overall):</B> 38 Inches (H) x 66.1 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 69.2 Pounds
LG 43 Class 4K UHD Smart LED TV - 43NANO75,LG Electronics,4.31,54,$349.99 ,<B>Dimensions (Overall):</B> 22.2 Inches (H) x 38.1 Inches (W) x 2.3 Inches (D),<B>Weight:</B> 20.3 Pounds
Element 70 4K UHD Roku Smart TV,Element,4.41,834,$499.99 ,<B>Dimensions (Overall):</B> 36 Inches (H) x 61.5 Inches (W) x 2.7 Inches (D),<B>Weight:</B> 45.2 Pounds
Element 65 4K UHD Roku TV,Element,4.17,873,$429.99 ,<B>Dimensions (Overall):</B> 32.7 Inches (H) x 57 Inches (W) x 3.2 Inches (D),<B>Weight:</B> 41.7 Pounds
LG 65 Class 4K UHD Smart Mini LED TV - 65QNED85UQA,LG Electronics,4.75,96,"$1,099.99 ",<B>Dimensions (Overall):</B> 33 Inches (H) x 57.2 Inches (W) x 1.8 Inches (D),<B>Weight:</B> 66.6 Pounds
"VIZIO 70 Class M7 Series Premium 4K QLED HDR Smart TV with Dolby Vision, Voice Remote and Gaming Engine - M70Q7-J03",VIZIO,4.56,782,$799.99 ,<B>Dimensions (Overall):</B> 35.4 Inches (H) x 61.1 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 57.2 Pounds
Westinghouse 55 4K UHD LED Roku Smart TV,Westinghouse,2,16,$289.99 ,<B>Dimensions (Overall):</B> 28.11 Inches (H) x 48.74 Inches (W) x 2.44 Inches (D),<B>Weight:</B> 29.04 Pounds
LG 24 Class HD Smart LED TV - 24LQ520S-PU,LG Electronics,4.5,16,$169.99 ,<B>Dimensions (Overall):</B> 13.42 Inches (H) x 22.17 Inches (W) x 2.28 Inches (D),<B>Weight:</B> 7.17 Pounds
Samsung 70 Smart QLED 4K UHD TV (QN70Q60B) - Titan Gray,Samsung,4.77,1305,$929.99 ,<B>Dimensions (Overall):</B> 35.5 Inches (H) x 61.4 Inches (W) x 1 Inches (D),<B>Weight:</B> 64.2 Pounds
Samsung 32 Smart QLED 4K UHD TV - Titan Gray (QN32Q60A),Samsung,4.64,1811,$399.99 ,<B>Dimensions (Overall):</B> 16.8 Inches (H) x 28.5 Inches (W) x 1.2 Inches (D),<B>Weight:</B> 11.9 Pounds
Samsung 50 The Frame Smart 4K UHD TV - Charcoal Black (QN50LS03B),Samsung,4.71,503,$899.99 ,<B>Dimensions (Overall):</B> 25.4 Inches (H) x 44.3 Inches (W) x 1 Inches (D),<B>Weight:</B> 26.9 Pounds
Samsung 40 Smart FHD LED TV - Black (UN40N5200),Samsung,3.72,199,$279.99 ,<B>Dimensions (Overall):</B> 20.9 Inches (H) x 36.3 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 15.4 Pounds
Samsung 75 The Frame 4K UHD Smart TV - Charcoal Black (QN75LS03B),Samsung,4.71,503,"$1,999.99 ",<B>Dimensions (Overall):</B> 37.8 Inches (H) x 66.2 Inches (W) x 1.1 Inches (D),<B>Weight:</B> 79.1 Pounds
Westinghouse 50 4K UHD LED Roku Smart TV,Westinghouse,3.14,7,$279.99 ,<B>Dimensions (Overall):</B> 25.54 Inches (H) x 44.22 Inches (W) x 10.38 Inches (D),<B>Weight:</B> 27.91 Pounds
LG 55 Class 4K UHD Smart LED TV - 55UQ9000PUD,LG Electronics,4.36,69,$429.99 ,<B>Dimensions (Overall):</B> 28.1 Inches (H) x 48.6 Inches (W) x 2.3 Inches (D),<B>Weight:</B> 30.9 Pounds
LG 65 Class 4K UHD Smart LED TV - 65UQ9000PUD,LG Electronics,4.4,72,$539.99 ,<B>Dimensions (Overall):</B> 33 Inches (H) x 57.2 Inches (W) x 2.3 Inches (D),<B>Weight:</B> 47.4 Pounds
LG 50 Class 4K UHD Smart LED TV - 50UQ9000PUD,LG Electronics,4.3,70,$379.99 ,<B>Dimensions (Overall):</B> 25.6 Inches (H) x 44.1 Inches (W) x 2.2 Inches (D),<B>Weight:</B> 25.8 Pounds
Samsung 43 Smart QLED 4K UHD TV - Titan Gray (QN43Q60B),Samsung,4.77,1304,$449.99 ,<B>Dimensions (Overall):</B> 22 Inches (H) x 38 Inches (W) x 1 Inches (D),<B>Weight:</B> 19 Pounds
Westinghouse 43 4K Ultra HD Roku Smart TV with HDR,Westinghouse,3.5,163,$239.99 ,<B>Dimensions (Overall):</B> 22.01 Inches (H) x 38.03 Inches (W) x 2.53 Inches (D),<B>Weight:</B> 16.94 Pounds
LG 42 Class 4K UHD Smart OLED TV - OLED42C2PUA,LG Electronics,4.86,434,$899.99 ,<B>Dimensions (Overall):</B> 21.3 Inches (H) x 36.7 Inches (W) x 1.6 Inches (D),<B>Weight:</B> 19.8 Pounds
LG 65 Class 4K UHD Smart Mini LED TV - 65QNED85UQA,LG Electronics,4.75,96,"$1,099.99 ",<B>Dimensions (Overall):</B> 33 Inches (H) x 57.2 Inches (W) x 1.8 Inches (D),<B>Weight:</B> 66.6 Pounds
LG 27 Class LED Full HD TV - 27LQ625S-PU,LG Electronics,4.5,8,$199.99 ,<B>Dimensions (Overall):</B> 14.5 Inches (H) x 24.1 Inches (W) x 2.9 Inches (D),<B>Weight:</B> 7.7 Pounds
Samsung QN55S95BA 55” OLED 4K Smart TV,Samsung,4.63,486,"$1,447.99 ",<B>Dimensions (Overall):</B> 30.2 inches (H) x 48.2 inches (W) x 11.3 inches (D),<B>Weight:</B> 46.1 pounds
LG 70 Class 4K UHD Smart LED HDR TV - 70UQ9000PUD,LG Electronics,4.39,67,$659.99 ,<B>Dimensions (Overall):</B> 35.7 Inches (H) x 61.5 Inches (W) x 2.4 Inches (D),<B>Weight:</B> 62.6 Pounds
"Samsung QN43QN90BA 43"" Neo QLED 4K Smart TV (2022)",Samsung,4.79,1034,$997.99 ,<B>Dimensions (Overall):</B> 24.5 inches (H) x 37.8 inches (W) x 8.8 inches (D),<B>Weight:</B> 30.4 pounds
LG 43 Class 4K UHD Smart LED TV - 43NANO75,LG Electronics,4.31,54,$349.99 ,<B>Dimensions (Overall):</B> 22.2 Inches (H) x 38.1 Inches (W) x 2.3 Inches (D),<B>Weight:</B> 20.3 Pounds
LG 42 Class 4K UHD Smart OLED TV - OLED42C2PUA,LG Electronics,4.86,434,$899.99 ,<B>Dimensions (Overall):</B> 21.3 Inches (H) x 36.7 Inches (W) x 1.6 Inches (D),<B>Weight:</B> 19.8 Pounds
"Furrion FDUF50CSA 50"" Aurora Full Shade Smart 4K LED Outdoor TV",Furrion,0,0,"$1,799.99 ",<B>Dimensions (Overall):</B> 26.45 inches (H) x 44.41 inches (W) x 4.52 inches (D),<B>Weight:</B> 42.9 pounds
"Sony XR-48A90K 48"" BRAVIA XR OLED 4K HDR Smart TV with Google TV",Sony,4.72,68,"$1,198.00 ",<B>Dimensions (Overall):</B> 24.88 inches (H) x 42.12 inches (W) x 8.88 inches (D),<B>Weight:</B> 36.4 pounds
LG 65 Class 4K UHD Smart OLED TV - OLED65C2PUA,LG Electronics,4.84,503,"$1,699.99 ",<B>Dimensions (Overall):</B> 32.5 Inches (H) x 56.7 Inches (W) x 1.8 Inches (D),<B>Weight:</B> 32.6 Pounds
Samsung UN43AU8000FXZA Class 8000 Series 4K LED UHD Smart Tizen TV (43 Inch),Samsung,4.63,3009,$593.99 ,<B>Dimensions (Overall):</B> 23.6 inches (H) x 38 inches (W) x 7.7 inches (D),<B>Weight:</B> 19.6 pounds
"Supersonic SC-2412 24 1080p LED TV/DVD Combination, AC/DC Compatible with RV/Boat",Supersonic,0,0,$231.99 ,<B>Dimensions (Overall):</B> 14.33 inches (H) x 6.5 inches (W) x 22.21 inches (D),<B>Electronics Condition:</B> New
LG 55 Class 4K UHD Smart Mini LED TV - 55QNED85UQA,LG Electronics,4.73,97,"$1,099.99 ",<B>Dimensions (Overall):</B> 28.2 Inches (H) x 48.5 Inches (W) x 1.8 Inches (D),<B>Weight:</B> 43.7 Pounds
LG 55 Class 4K UHD Smart Mini LED TV - 55QNED85UQA,LG Electronics,4.73,97,"$1,099.99 ",<B>Dimensions (Overall):</B> 28.2 Inches (H) x 48.5 Inches (W) x 1.8 Inches (D),<B>Weight:</B> 43.7 Pounds
"Supersonic 15.6 720p LED TV/DVD Combination, AC/DC Compatible with RV/Boat",Supersonic,0,0,$179.99 ,<B>Dimensions (Overall):</B> 12.68 inches (H) x 1.91 inches (W) x 15.75 inches (D),<B>Weight:</B> 3.53 pounds
LG 55 Class 4K UHD Smart OLED TV - OLED55C2PUA,LG Electronics,4.85,629,"$1,299.99 ",<B>Dimensions (Overall):</B> 27.7 Inches (H) x 48.1 Inches (W) x 1.8 Inches (D),<B>Weight:</B> 28 Pounds
"Supersonic 15.6 720p LED TV, AC/DC Compatible with RV/Boat",Supersonic,0,0,$159.99 ,<B>Dimensions (Overall):</B> 9.15 inches (H) x 1.6 inches (W) x 14.76 inches (D),<B>Weight:</B> 3.41 pounds
