product_id,category_id,name,product_slug,brand,model,description,manufacturer,thumbnail_image,rating,price,,,,,,,,,,,,,,
1,2,onn. 24” Class HD (720P) LED Roku Smart TV (100012590),onn.-24”-Class-HD-(720P)-LED-Roku-Smart-TV-(100012590),onn.,100012590,"Binge on movies and TV episodes; news; sports; music and more! We insisted on 720p High Definition for this 24” LED TV; bringing out more lifelike color; texture and detail. We also partnered with Roku to bring you the best possible content with thousands of channels to choose from; conveniently presented through your own customizable home screen. Watch via cable; satellite; HDTV antenna or just start streaming from your favorite app. Like the sound of your own voice You can actually use it with the Roku mobile app to search for the title; artist; actor or director; or just go old-school with our handy remote. We handle all software updates too; automatically; so all you have to worry about is what to watch. Lose yourself in the ultimate viewing experience. Watch onn. with our onn. 24” Class 720P HD LED Roku Smart TV. We're onn. to something here. Say goodbye to stressful decision-making and fear of the electronics aisle. Our mission is simple…to deliver great products and make it easy. Choose onn. and get back to using your brainpower for the important things in life like pondering the question; What should I binge watch this weekend?""""",onn.,https://i5.walmartimages.com/asr/282e7806-0b65-40d1-af69-53b28c9b872e.521f8c03551e02f9f4ed89e39cc8f79a.jpeg,4.1,98,,,,,,,,,,,,,,
2,1,"Sceptre 32 Class 720P HD LED TV X322BV-SR""","Sceptre-32-Class-720P-HD-LED-TV-X322BV-SR""",Sceptre,X322BV-SR,<p>Escape into a world of splendid color and clarity with the X322BV-SR. Clear QAM tuner is included to make cable connection as easy as possible; without an antenna. HDMI input delivers the unbeatable combination of high-definition video and clear audio. A USB port comes in handy when you want to flip through all of your stored pictures and tune into your stored music. More possibilities: with HDMI; VGA; Component and Composite inputs; we offer a convenient balance between the old and new to suit your diverse preferences. With the ability to connect your computer; laptop; monitor; or TV to all your favorite variety of input options; VGA inputs deliver superb analog video.</p>,Sceptre,https://i5.walmartimages.com/asr/ba1ae41e-b8da-4fb1-b6ec-434bacc5262e.38ed70951313b6bf265227d130d204f6.png,4.4,98,,,,,,,,,,,,,,
3,1,"VIZIO 24 Class D-Series HD LED Smart TV D24h-J09""","VIZIO-24-Class-D-Series-HD-LED-Smart-TV-D24h-J09""",VIZIO,D24h-J09,Versatility and performance collide with the new VIZIO D-Series HD Smart TV. D-Series comes loaded with a full array backlight for better contrast and uniformity; brilliant 720p HD resolution and an ultra-fast VIZIO IQ processor with support for immersive audio pass-through for Dolby Atmos and DTS:X. Stream it all with the award-winning SmartCast platform loaded with the best selection of built-in apps including WatchFree+ that lets you enjoy free access to live TV and hundreds of free channels right out of the box. SmartCast also works with Apple AirPlay 2 and Chromecast built-in; offering unparalleled entertainment in a size that fits your lifestyle.,Vizio,https://i5.walmartimages.com/asr/cd945df7-7f88-4ac0-a6ed-9b6cf9c7435b.0e17ee59ef18fbb9ba9a14fa8589103a.jpeg,4.5,103.99,,,,,,,,,,,,,,
4,1,onn. 32” Class HD (720P) LED Roku Smart TV (100012589),onn.-32”-Class-HD-(720P)-LED-Roku-Smart-TV-(100012589),onn.,100012589,Binge on movies and TV episodes; news; sports; music and more! We insisted on 720P High Definition for this 32” LED TV; bringing out more lifelike color; texture and detail. We also partnered with Roku to bring you the best possible content with thousands of channels to choose from; conveniently presented through your own customizable home screen. Watch via cable; satellite; HDTV antenna or just start streaming from your favorite app. Like the sound of your own voice? You can actually use it with the Roku mobile app to search for the title; artist; actor or director; or just go old-school with our handy remote. We handle all software updates too; automatically; so all you have to worry about is what to watch. Lose yourself in the ultimate viewing experience. We're onn.™ to something here. Say goodbye to stressful decision-making and fear of the electronics aisle. Our mission is simple…to deliver great products and make it easy. Choose onn. and get back to using your brainpower for the important things in life like pondering the question; ”What should I binge watch this weekend?”,onn.,https://i5.walmartimages.com/asr/fdb408cb-51fd-4ee2-a766-a567abf71721.96d149915306c9a2fe1e034d8ec86be5.jpeg,4.3,108,,,,,,,,,,,,,,
5,1,"Philips 32 Class HD (720P) Smart Roku Borderless LED TV (32PFL6452/F7)""","Philips-32-Class-HD-(720P)-Smart-Roku-Borderless-LED-TV-(32PFL6452/F7)""",Philips,32PFL6452/F7,Deck out your entertainment room or even your bedroom with this Philips 32 Class HD (720P) Smart Roku Borderless TV (32PFL6452/F7). Roku TV makes streaming a snap, so you'll always have your favorite show at your fingertips. Philips Roku TV brings you top channels like Netflix, Hulu, YouTube, Google Play, and more. Access to 500,"000+ movies and TV episodes across thousands of free or paid channels plus innovative features make finding your favorite entertainment fast and simple. It also has a built-in digital tuner so you can watch digital broadcasts when you're not streaming content.""",Funai Corporation; Inc.,https://i5.walmartimages.com/asr/8349c14e-3a4c-4c8f-a7ab-35a0d88d31cc.3bdd5455f9a61c47bcc96906c3b2adf3.jpeg,4.4,118,,,,,,,,
6,1,"TCL 32 Class 720P HD LED Roku Smart TV 3 Series 32S331""","TCL-32-Class-720P-HD-LED-Roku-Smart-TV-3-Series-32S331""",TCL,32S331,The 3-Series TCL Roku TV puts all your entertainment favorites in one place; allowing seamless access to over 500;000 movies and TV episodes; your cable box; gaming console; and other devices—all from your simple; intuitive interface. The super-simple remote and dual-band wireless make it fast and easy to access your favorite content in high definition. Connect all your favorite devices with the three HDMI inputs. The built-in TV tuner makes this the ultimate cord-cutting TV as it also gives you the ability to access free; over-the-air HD content.,TCL,https://i5.walmartimages.com/asr/0ee198a5-e8f2-4d92-9cc7-ce610dc2eb2e.eee8074ec77e7af0c9e2e2072b680d3a.jpeg,4.2,124,,,,,,,,,,,,,,
7,1,"VIZIO 32 Class D-Series HD Smart TV D32h-J09""","VIZIO-32-Class-D-Series-HD-Smart-TV-D32h-J09""",VIZIO,D32h-J09,Versatility and performance collide with the VIZIO D-Series HD Smart TV. D-Series comes loaded with a full array backlight for better contrast and uniformity; brilliant 720p HD resolution and an ultra-fast VIZIO IQ processor with support for immersive audio pass-through for Dolby Atmos and DTS:X. Stream it all with the award-winning SmartCast platform loaded with the best selection of built-in apps including WatchFree+ that lets you enjoy free access to live TV and hundreds of free channels right out of the box. SmartCast also works with Apple AirPlay 2 and Chromecast built-in; offering unparalleled entertainment in a size that fits your lifestyle.,Vizio,https://i5.walmartimages.com/asr/b4355676-2de8-46a4-8556-13dfc806701c.659bdf512fdf7ed04ef0368f72396dde.jpeg,4.3,128,,,,,,,,,,,,,,
8,1,"Hisense 32 Class 720P HD LED LCD Roku Smart TV H4030F Series 32H4030F3""","Hisense-32-Class-720P-HD-LED-LCD-Roku-Smart-TV-H4030F-Series-32H4030F3""",Hisense,32H4030F3,<p>For binge-watchers on a budget; be sure to call your spot on the couch. The H4030F3 is born ready with the built-in Roku TV platform; your private portal to more than 5;000 channels and 500;000 movies and TV episodes. So; no matter how many people you have in your house; there are more than enough must-sees and OMGs to go around. Plus; to make the decision even easier; we made the H4030F3 even simpler. It packed with built-in Wi-Fi and faster search. Just connect to the Internet; activate and find your favorite show. With a rich picture and smart features made so easily attainable; it's hard not to love the H4030F3.</P><P>Roku OS: Entertain Your Options You can enjoy easy access to 5;000+ channels and 500;000  movies and TV episodes a with Roku TV. But endless  streaming is only the beginning. An intuitive interface and  simplified remote help you get the most out of your current  cable or satellite subscription. Or; cut the cord altogether while  still catching live news; sports and more in striking high  resolution. Whatever your setup; the H4030F3 Roku TV makes  every day a great day to experience the entertainment you love  and discover must-see shows.</p> <p>Motion Rate: Eyes on the Prize Blinked and you missed it? Think again. The H4030F3 is built  with motion in mind. Motion Rate image processing makes it  so you can keep your eye on the ball; chase scene; or multi-  player battle. Gamers see lag times drop and viewers see all  the key moments in live sports or action movies. Captivating  scenes grab your attention and keep it with smooth motion.</p><p>Game Mode: Game On Game Mode offers super-low latency that reduces input lag; so  signals travel faster from your fingers to movement on screen.  Fast responses to each button press make sure the action in  video games is processed quickly and you finish at the top of  the leaderboard.</p><p> Fast & Easy Search: A Search Party</div><div>Enjoy fast and easy Universal Search that discovers content far  and wide; then displays it all in one place. Simply name a title;  actor or director to find movies and shows featuring their work.  That's all the H4030F3 needs to tell you which items are free or  premium; then point you to where to watch including on-demand  or live TV. It's just as fun as it sounds</p>,HISENSE,https://i5.walmartimages.com/asr/f6753c8d-8704-4cc8-aa96-4381877ee3f6.80b291996762a7e8907c1c5ee33c9177.jpeg,4.4,138,,,,,,,,,,,,,,
9,1,RCA 32 Class HD 720P Roku Smart LED Television, RTR3260-W," Black""",RCA-32-Class-HD-720P-Roku-Smart-LED-Television,#NAME?,"-Black""",RCA,RTR3260-W,"This 32 HD RCA ROKU Smart TV delivers a user-friendly experience. The super-simple remote and dual-band wireless make it fast and easy to access your favorite content. This 32"" 720p 60Hz LED HDTV has three HDMI inputs for connecting your DVD", Blu Ray player or preferred video game console. Get content from your smartphone or tablet with the free mobile app. This RCA ROKU LED HDTV features a sleek modern design with its quad-pedestal stand. It enhances any room in the house. Roku Search allows you to easily search across top streaming channels by title, actor or director and now includes voice search. With a true 16:9 aspect ratio for viewing your movies the way that the director intended. Catch your favorite broadcast shows in high definition where available. Mount the unit on your wall or set it on top of your entertainment center. RCA + Roku TV puts your favorite broadcast TV programs, streaming channels, gaming console and other devices on an easy to access menu with a super simple remote control. The newly designed remote only has 17 buttons no longer do you need to flip through inputs or complicated menus. Imagine how easy it will be to watch any device, channel or streaming channels RCA + Roku TV is a new era of smart TV. In addition, easily search the top streaming channels like Netflix, Hulu Plus, YouTube, etc. by title," actor or director and find what you want to watch quickly.""",CURTIS INTERNATIONAL LTD,https://i5.walmartimages.com/asr/48a8bd5c-d94d-46d2-a569-945073a66de8.7bb224a96a7869562f5965e1cb0c7078.jpeg,4.4,138
10,1,"LG 32 Class HD (720p) Smart LED TV (32LM577BZUA)""","LG-32-Class-HD-(720p)-Smart-LED-TV-(32LM577BZUA)""",LG,32LM577BZUA,<p>High-definition picture quality in an LG HD TV. Enjoy your favorite scenes even more. HD 720p displays a crisp; clear picture that brings color to your shows and movies. The hard-working quad-core TV processor improves images; action and color; reducing distracting video noise and motion blur; enhancing sharpness and portraying accurate colors. Higher transfer speeds from source to screen with two HDMI inputs for high-performance entertainment. One cable connects audio and video devices quickly and easily. Active HDR enhances your favorite scenes. Discover every detail with scene-by-scene picture adjustment. LG's advanced tone mapping technology makes Active HDR possible; with support for HDR10 and HLG formats.</p>,LG,https://i5.walmartimages.com/asr/c9f45ebd-c07d-4d80-b6b0-dc92498a600b.9d01aa3bb55cee296d66bd9d3d7c6338.jpeg,4.5,142,,,,,,,,,,,,,,
